Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2UzMpPKPhbcC8RbsmuURAZ,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-10,272386,1,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.55,0.532,5,-7.591,1,0.032,0.174,0.000347,0.218,0.41,85.032,4
spotify:track:7Jzsc04YpkRwB1zeyM39wE,"R U Mine?","AM","Arctic Monkeys",2013-09-10,201733,1,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.509,0.763,11,-5.724,0,0.0302,0.00708,0,0.224,0.635,97.076,4
spotify:track:7Hk6vSplBGJ6zK9GcGgeIa,"One for the Road","AM","Arctic Monkeys",2013-09-10,206040,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.414,0.664,0,-6.87,1,0.0379,0.24,0.0656,0.288,0.863,183.67,4
spotify:track:0WF700uCpY2mQM5CUKuZ6H,"Arabella","AM","Arctic Monkeys",2013-09-10,207360,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.707,0.566,2,-6.993,1,0.0501,0.0236,0,0.183,0.489,90.03,4
spotify:track:1bOxsHWMVCf3vAfFMZJvGi,"I Want It All","AM","Arctic Monkeys",2013-09-10,184346,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.507,0.847,5,-5.591,1,0.0339,0.000824,0.0601,0.067,0.384,131.017,4
spotify:track:3vOZqYkuhE2ASsOctL81a7,"No.1 Party Anthem","AM","Arctic Monkeys",2013-09-10,243066,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.507,0.694,0,-5.54,1,0.0294,0.301,0.0318,0.0899,0.582,114.952,4
spotify:track:0LpwaDYfgFL34JuGAhr4DF,"Mad Sounds","AM","Arctic Monkeys",2013-09-10,215066,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.527,0.463,5,-10.785,1,0.0305,0.306,0.16,0.109,0.46,80.035,4
spotify:track:6MFRtRMQWObCVWE4TC1Pbu,"Fireside","AM","Arctic Monkeys",2013-09-10,181026,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.541,0.952,9,-5.634,0,0.055,0.0194,0.000596,0.123,0.726,99.986,4
spotify:track:4kTd0TND65MUY4BlcmJ2cM,"Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-10,161133,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.698,0.627,2,-6.481,1,0.036,0.0423,0.00000716,0.0834,0.796,91.989,4
spotify:track:63otWg6eWBt3ldXFtDJiXN,"Snap Out of It","AM","Arctic Monkeys",2013-09-10,192880,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.721,0.627,5,-6.471,0,0.0332,0.194,0,0.112,0.901,130.012,4
spotify:track:0pKrMTlDlW54abYkdBsgxj,"Knee Socks","AM","Arctic Monkeys",2013-09-10,257573,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.669,0.54,11,-8.322,0,0.0339,0.137,0.00374,0.339,0.549,97.993,4
spotify:track:0ryEyJ994SqdJwGJXyS1SF,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-10,184026,0,false,iarecippo,2019-01-01T22:41:48Z,"indie,garage rock","Sony Music Latin",0.483,0.42,0,-9.403,0,0.0272,0.124,0.0163,0.107,0.435,135.175,4
spotify:track:4xyNG8vZR3g8FnphVkbjRo,"Love","Lust For Life","Lana Del Rey",2017-07-21,272742,0,false,iarecippo,2019-01-01T22:41:54Z,"","Universal Music Group",0.325,0.377,10,-10.911,1,0.0345,0.492,0.00314,0.111,0.278,98.87,4
spotify:track:4L7Y2OAPiY2I2GndZjAs5K,"Lust For Life (with The Weeknd)","Lust For Life","Lana Del Rey;The Weeknd",2017-07-21,264066,0,false,iarecippo,2019-01-01T22:41:54Z,"","Universal Music Group",0.456,0.672,0,-8.62,0,0.069,0.572,0.00156,0.364,0.271,99.998,4
spotify:track:4mq14Qa6OehdiyZFtHcdCH,"13 Beaches","Lust For Life","Lana Del Rey",2017-07-21,295569,0,false,iarecippo,2019-01-01T22:41:54Z,"","Universal Music Group",0.415,0.402,7,-9.063,1,0.0354,0.556,0.0677,0.198,0.237,144.033,4
spotify:track:6eGMMPRVYzpssGgednRvzU,"Cherry","Lust For Life","Lana Del Rey",2017-07-21,180902,0,true,iarecippo,2019-01-01T22:41:54Z,"","Universal Music Group",0.355,0.541,8,-9.667,0,0.0608,0.0457,0.00516,0.316,0.337,123.524,3
spotify:track:2Pn76oik9rWyoBShTSNY9Q,"White Mustang","Lust For Life","Lana Del Rey",2017-07-21,164710,0,false,iarecippo,2019-01-01T22:41:54Z,"","Universal Music Group",0.652,0.462,6,-8.683,0,0.0487,0.428,0.00226,0.107,0.265,114.932,4
spotify:track:0T8qHE4gQPf8g9KjvjNmDq,"Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lust For Life","Lana Del Rey;A$AP Rocky;Playboi Carti",2017-07-21,260672,0,true,iarecippo,2019-01-01T22:41:54Z,"rap,rage rap","Universal Music Group",0.746,0.576,1,-8.64,1,0.153,0.0162,0.0000113,0.19,0.124,134.944,4
spotify:track:3tWa5qmAJ2OsHV6KxNZBxc,"Groupie Love (feat. A$AP Rocky)","Lust For Life","Lana Del Rey;A$AP Rocky",2017-07-21,264037,0,true,iarecippo,2019-01-01T22:41:54Z,"rap","Universal Music Group",0.347,0.594,9,-7.33,1,0.0423,0.111,0.00000191,0.11,0.163,175.944,4
