Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5FF6Pyuh5jW6ybKHiaiGMy,"Sherane a.k.a Master Splinter’s Daughter","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,273640,53,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.504,0.508,10,-11.094,0,0.518,0.486,0.0102,0.124,0.317,82.069,4
spotify:track:5h5tBFnbcVioFXiOixTn6E,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,310720,67,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.586,0.698,1,-8.948,1,0.0943,0.0151,0,0.443,0.098,133.954,4
spotify:track:1BR5vhAlaoUiijQ28p6jlN,"Backseat Freestyle","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,212653,60,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.547,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.645,77.878,4
spotify:track:4F8rYEoiBjPaRgQXLVtN5a,"The Art of Peer Pressure","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,324533,56,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.555,0.611,10,-9.216,0,0.356,0.285,0.00106,0.273,0.409,94.939,4
spotify:track:0UtnpKaReKUg2GquaSxCyD,"Money Trees","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Jay Rock",2012-10-22,386906,69,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.716,0.531,7,-7.355,1,0.157,0.0709,0,0.22,0.335,71.972,4
spotify:track:3MLOAIJNWWS8FQpvdaiKR7,"Poetic Justice","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Drake",2012-10-22,300160,64,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop,rap","Aftermath",0.778,0.569,6,-9.985,0,0.378,0.158,0,0.246,0.642,135.958,4
spotify:track:0PKJxo97zXT8oAwl2zFnPh,"good kid","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,214120,56,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.451,0.831,5,-8.641,0,0.308,0.0623,0,0.185,0.41,176.173,4
spotify:track:3qX1dqmDdmMvvfMVfsx4Bh,"m.A.A.d city","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;MC Eiht",2012-10-22,350120,67,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop,g-funk,gangster rap","Aftermath",0.487,0.729,2,-6.815,1,0.271,0.0538,0.00000409,0.44,0.217,91.066,4
spotify:track:40wUM3LFZOlUcZfxEIZrYK,"Swimming Pools (Drank) - Extended Version","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,313786,62,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.669,0.485,6,-7.744,0,0.417,0.123,0.0000268,0.604,0.261,74.376,4
spotify:track:1Z2FvDFZSDQ23s4BDqpWqZ,"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,723573,62,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.654,0.753,8,-7.556,0,0.398,0.303,0.0000825,0.13,0.371,110.699,5
spotify:track:73eGiraiU7JkIsmFyQyJAv,"Real","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Anna Wise",2012-10-22,443413,56,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop,alternative r&b","Aftermath",0.652,0.458,1,-12.272,1,0.194,0.0282,0,0.664,0.174,100.049,4
spotify:track:0O6cYePgIBlMQ0pAFate3q,"Compton","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Dr. Dre",2012-10-22,248093,53,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop,old school hip hop,g-funk,gangster rap,rap","Aftermath",0.341,0.907,1,-4.425,0,0.419,0.0815,0,0.383,0.224,170.757,4
spotify:track:5jHilrZDaP1vJMZfdN1He3,"The Recipe - Bonus Track","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Dr. Dre",2012-10-22,352853,66,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop,old school hip hop,g-funk,gangster rap,rap","Aftermath",0.764,0.782,1,-6.975,0,0.0725,0.000589,0,0.35,0.504,131,4
spotify:track:6P6HGbOoWUynE2U7yLwLnY,"Black Boy Fly - Bonus Track","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,279146,51,true,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop","Aftermath",0.593,0.731,1,-5.21,1,0.15,0.108,0.00000152,0.103,0.61,160.085,4
spotify:track:0NfYAsKygCYwPA2BgTZ1qg,"Now Or Never - Bonus Track","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Mary J. Blige",2012-10-22,256213,66,false,iarecippo,2023-01-04T17:27:07Z,"hip hop,west coast hip hop,r&b","Aftermath",0.535,0.707,7,-5.879,0,0.21,0.264,0,0.305,0.784,100.534,4
