Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fqt5nfPEgbOuIajbZmkBv,"Me and Your Mama","""Awaken, My Love!""","Childish Gambino",2016-12-02,379226,0,false,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.55,0.451,5,-11.754,1,0.0363,0.00957,0.0228,0.0712,0.247,117.951,3
spotify:track:6TJrqqpm5eCSU9NsD8AjrR,"Have Some Love","""Awaken, My Love!""","Childish Gambino",2016-12-02,224253,0,false,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.783,0.806,9,-6.462,1,0.0901,0.0184,0.0118,0.682,0.938,148.165,4
spotify:track:4bi5U6SaYNurproZMe66d7,"Boogieman","""Awaken, My Love!""","Childish Gambino",2016-12-02,216840,0,false,iarecippo,2020-01-06T04:10:46Z,"","Glassnote Entertainment Group LLC",0.717,0.779,2,-7.904,1,0.0771,0.107,0.171,0.19,0.635,88.009,4
spotify:track:57MUgJMJqfnFCdi1Xshvw2,"Zombies","""Awaken, My Love!""","Childish Gambino",2016-12-02,281813,0,false,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.714,0.415,0,-12.061,1,0.103,0.502,0.000955,0.067,0.448,80.014,4
spotify:track:12FSzk0wDNG6yZ6ldBXIAS,"Riot","""Awaken, My Love!""","Childish Gambino",2016-12-02,125120,0,false,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.505,0.947,5,-5.906,1,0.0733,0.000333,0.000041,0.388,0.636,91.282,4
spotify:track:2Uvy6SkNqxvnH1W68dymxG,"Redbone","""Awaken, My Love!""","Childish Gambino",2016-12-02,326933,1,true,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.745,0.359,1,-10.429,1,0.112,0.192,0.00628,0.138,0.55,160.123,4
spotify:track:1kxlPp6w5HZ1lgq6saMEdT,"California","""Awaken, My Love!""","Childish Gambino",2016-12-02,165266,0,true,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.868,0.432,3,-11.345,1,0.586,0.341,0,0.139,0.825,148.86,4
spotify:track:1UG0VQ5h8q63xtOjfLakFs,"Terrified","""Awaken, My Love!""","Childish Gambino",2016-12-02,255466,0,true,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.48,0.407,0,-10.934,0,0.0535,0.432,0.654,0.0982,0.113,139.487,4
spotify:track:2c5fBBdKPfYSSjqQR8r0yj,"Baby Boy","""Awaken, My Love!""","Childish Gambino",2016-12-02,382093,0,false,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.536,0.402,2,-7.111,0,0.0359,0.124,0.464,0.0657,0.697,199.916,3
spotify:track:6TBOfqCRqZPZ5fH69GjxJd,"The Night Me and Your Mama Met","""Awaken, My Love!""","Childish Gambino",2016-12-02,214080,0,false,iarecippo,2020-01-06T04:10:46Z,"","Glassnote Entertainment Group LLC",0.553,0.121,1,-14.566,0,0.0284,0.966,0.0969,0.0613,0.105,66.956,3
spotify:track:7tKjcUbtG4L47cgohEPrN8,"Stand Tall","""Awaken, My Love!""","Childish Gambino",2016-12-02,370773,0,false,iarecippo,2019-01-01T22:47:32Z,"","Glassnote Entertainment Group LLC",0.328,0.247,2,-13.277,0,0.0366,0.691,0.00192,0.109,0.138,87.941,4
