Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3c4rWoZAkuK7xr3ufbfpeC,"Void","Cold as a Kitchen Floor","Marrakesh",2018-04-13,221693,6,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.212,0.497,4,-9.435,1,0.0302,0.425,0.89,0.0994,0.288,100.005,4
spotify:track:12BW9GjwmdDCjeCMwrGDat,"Moonhealing","Cold as a Kitchen Floor","Marrakesh",2018-04-13,213819,11,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.374,0.551,2,-7.827,1,0.0336,0.142,0.0485,0.508,0.408,170.031,4
spotify:track:6P8UN5BCiIzKYcEzYPrmao,"All U Need","Cold as a Kitchen Floor","Marrakesh",2018-04-13,246381,6,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.461,0.434,11,-9.077,0,0.0286,0.436,0.0142,0.221,0.137,105.089,4
spotify:track:2DirmhO5al917T5vgLWgHk,"Bae","Cold as a Kitchen Floor","Marrakesh",2018-04-13,190211,3,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.377,0.374,4,-8.451,1,0.0319,0.553,0.00704,0.109,0.286,97.92,4
spotify:track:28A9zYtJ0RT6LNFVyfXgM8,"Kxaw","Cold as a Kitchen Floor","Marrakesh",2018-04-13,64691,2,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.418,0.847,0,-7.943,1,0.0549,0.00182,0.841,0.723,0.623,93.377,4
spotify:track:2RQhUFslTGVRFR80opQ9IR,"Carry You","Cold as a Kitchen Floor","Marrakesh",2018-04-13,202704,2,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.497,0.362,10,-11.015,1,0.0289,0.19,0.0819,0.122,0.3,89.966,4
spotify:track:0v42aVyQcMmFGpHKKbNDac,"Try Out","Cold as a Kitchen Floor","Marrakesh",2018-04-13,244453,3,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.358,0.466,2,-9.116,1,0.0296,0.198,0.0186,0.293,0.259,118.651,4
spotify:track:2dfH3545QMj6A9qQ6O8avU,"Nextory","Cold as a Kitchen Floor","Marrakesh",2018-04-13,215705,2,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.301,0.62,4,-8.953,1,0.0848,0.137,0.0134,0.315,0.367,143.485,3
spotify:track:5lC3aAXWZLJclYvRomHycu,"Persona","Cold as a Kitchen Floor","Marrakesh",2018-04-13,87065,1,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.231,0.369,9,-17.745,1,0.075,0.809,0.00635,0.137,0.127,172.035,3
spotify:track:5bNvz8NAYaiXGGf8FqDb2q,"Late Blue","Cold as a Kitchen Floor","Marrakesh",2018-04-13,222661,2,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.485,0.335,7,-11.29,1,0.0295,0.0844,0.00076,0.118,0.314,135.636,4
spotify:track:32IAXLGWmWUpoqcIjAQQ9g,"Woke Up","Cold as a Kitchen Floor","Marrakesh",2018-04-13,117609,1,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.461,0.236,4,-15.622,0,0.0396,0.985,0.671,0.107,0.275,70.054,4
spotify:track:03xy2S8Yzj7Wz2ARbyzETv,"Mirage","Cold as a Kitchen Floor","Marrakesh",2018-04-13,342831,4,false,iarecippo,2019-01-14T18:59:52Z,"","Balaclava Records",0.444,0.609,0,-9.417,1,0.0327,0.163,0.215,0.137,0.164,129.926,4
spotify:track:3jAoLij05OiNndX2XlSRdS,"How To Fly","Caress Your Soul","Sticky Fingers",2013-03-08,202186,1,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.676,0.645,8,-9.335,0,0.0992,0.159,0.00172,0.106,0.537,151.058,4
spotify:track:2YTrgbxNPcqzSXQY9acap9,"Clouds & Cream","Caress Your Soul","Sticky Fingers",2013-03-08,174346,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.659,0.89,6,-8.446,1,0.057,0.0816,0.0000269,0.112,0.612,90.005,4
spotify:track:0O0M44llUQuPdJAkROQRch,"Australia Street","Caress Your Soul","Sticky Fingers",2013-03-08,219026,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.472,0.69,9,-8.092,0,0.0443,0.0219,0,0.0992,0.512,77.478,4
spotify:track:4iURgDfsolmCJtknzWuyxj,"These Girls","Caress Your Soul","Sticky Fingers",2013-03-08,205786,1,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.358,0.585,6,-8.762,1,0.0776,0.327,0.000002,0.0864,0.407,185.392,4
spotify:track:16dhKOceRRKSEoQcdGr9Hd,"Sex","Caress Your Soul","Sticky Fingers",2013-03-08,158720,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.609,0.585,7,-10.471,0,0.0353,0.305,0.00000907,0.117,0.261,105.975,3
spotify:track:26a6rTtPAHKQ2RA0xbdB6y,"Bootleg Rascal","Caress Your Soul","Sticky Fingers",2013-03-08,227320,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.671,0.481,11,-10.111,0,0.0486,0.508,0.0000114,0.0835,0.487,136.045,4
spotify:track:1FQWjcHMI298Plgx468LT2,"Caress Your Soul","Caress Your Soul","Sticky Fingers",2013-03-08,177306,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.556,0.872,6,-7.46,0,0.0416,0.00131,0,0.0945,0.601,109.9,4
spotify:track:4GwouFyGPGgcUAXewtYLRo,"Laika","Caress Your Soul","Sticky Fingers",2013-03-08,233280,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.657,0.536,6,-10.901,0,0.0365,0.481,0.0000793,0.136,0.325,143.954,4
spotify:track:2sgiNX2CQg1VWzGYIpLg2E,"Freddy Crabs","Caress Your Soul","Sticky Fingers",2013-03-08,307600,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.447,0.684,9,-8.733,0,0.0436,0.174,0.0546,0.184,0.244,176.044,4
spotify:track:1RLa4k4zTZkkWz0gApGipO,"Kiss The Breeze","Caress Your Soul","Sticky Fingers",2013-03-08,258746,0,true,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.498,0.54,11,-9.62,0,0.0477,0.122,0,0.0872,0.641,133.116,4
spotify:track:2IjSsoIQB0vcWiWCQNurMP,"Let It All Out","Caress Your Soul","Sticky Fingers",2013-03-08,195440,0,false,iarecippo,2019-01-24T01:35:19Z,"surf rock","SureShaker Music",0.57,0.604,0,-9.48,1,0.0306,0.395,0.0000219,0.912,0.531,106.975,4
spotify:track:6KWBlNgIwxyPRtl40Hn5EV,"Dream","Underwater Pipe Dreams","Inner Wave",2017-08-25,102606,0,false,iarecippo,2019-01-26T01:42:18Z,"","Inner Wave",0.209,0.457,1,-8.614,1,0.036,0.871,0.879,0.402,0.329,68.368,4
