Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DREhftHdD8pRmNdSs6nyF,"Sangue latino","A volta de Secos & Molhados","Secos & Molhados",1973,128000,70,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.574,0.389,2,-9.786,1,0.0295,0.256,0.00072,0.16,0.905,133.634,4
spotify:track:399JDPgES4MtqnPrmzWDrg,"O vira","A volta de Secos & Molhados","Secos & Molhados",1973,134733,50,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.345,0.687,0,-7.605,1,0.038,0.0605,0,0.233,0.734,86.606,4
spotify:track:2nvxeqyG7Isun3HZg8ow2E,"O Patrão Nosso De Cada Dia","A volta de Secos & Molhados","Secos & Molhados",1973,202866,47,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.414,0.12,7,-19.072,1,0.0364,0.736,0.0000928,0.174,0.391,105.822,4
spotify:track:22eHeLlCk3WTMzlbkQdIey,"Amor","A volta de Secos & Molhados","Secos & Molhados",1973,136893,55,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.352,0.649,5,-8.141,1,0.0408,0.0395,0.0000257,0.0985,0.711,100.545,4
spotify:track:3wRe1E7Lc4Ah05D45YRNrT,"Primavera nos dentes","A volta de Secos & Molhados","Secos & Molhados",1973,293000,49,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.538,0.285,9,-19.716,1,0.0424,0.0571,0.0636,0.066,0.443,117.377,4
spotify:track:6KKcDwCRq5nZw62AczL85C,"Assim assado","A volta de Secos & Molhados","Secos & Molhados",1973,172906,47,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.61,0.464,7,-14.887,1,0.0695,0.0378,0,0.0298,0.544,93.569,4
spotify:track:69jBYGe6Nd3Wqy03nDqMZQ,"Mulher barriguda","A volta de Secos & Molhados","Secos & Molhados",1973,160160,37,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.35,0.521,0,-15.412,1,0.0511,0.0109,0.00384,0.0884,0.906,171.138,4
spotify:track:6IfQLhMvIohZQb0ro5rHa7,"El rey","A volta de Secos & Molhados","Secos & Molhados",1973,60026,38,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.574,0.322,0,-12.794,1,0.0445,0.648,0,0.0921,0.0398,122.6,4
spotify:track:4c7m5TLZ61e4otG1fZ68XP,"Rosa de Hiroshima","A volta de Secos & Molhados","Secos & Molhados",1973,121893,58,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.522,0.0949,2,-16.346,1,0.0319,0.632,0.00422,0.089,0.706,92.866,4
spotify:track:7ESs28TZl95wGtMY3z3gRD,"Prece cósmica","A volta de Secos & Molhados","Secos & Molhados",1973,123506,42,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.648,0.316,4,-19.988,1,0.0716,0.178,0.000135,0.0718,0.93,80.8,4
spotify:track:5FG0gjfDqPXuvLJnnlNimH,"Rondó do capitão","A volta de Secos & Molhados","Secos & Molhados",1973,65133,40,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.48,0.196,0,-17.513,1,0.039,0.87,0.022,0.105,0.505,161.344,3
spotify:track:38cKP29rg3n0Nvp9yMCdW4,"As andorinhas","A volta de Secos & Molhados","Secos & Molhados",1973,60693,32,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.397,0.0719,7,-20.465,0,0.0458,0.787,0.773,0.112,0.0635,69.23,4
spotify:track:1HVkisttB0LgE0gxcqsnG4,"Fala","A volta de Secos & Molhados","Secos & Molhados",1973,180000,62,false,iarecippo,2019-12-31T14:55:51Z,"mpb,brazilian rock","WM Brazil",0.404,0.295,7,-14.375,1,0.0365,0.135,0.000158,0.297,0.231,121.374,4
spotify:track:3VGAFGwsSPmFAwYHa11C2U,"Vinheta Quebrante","Céu","Céu",2005-06-21,53786,24,false,iarecippo,2020-01-01T20:28:06Z,"new mpb,mpb","Urban Jungle Records",0.911,0.751,8,-16.238,1,0.209,0.39,0.669,0.167,0.97,129.943,4
spotify:track:7AyUlE51WlFc2x8Z2ogCPP,"Lenda","Céu","Céu",2005-06-21,259320,31,false,iarecippo,2020-01-01T20:28:06Z,"new mpb,mpb","Urban Jungle Records",0.793,0.494,3,-9.573,1,0.0562,0.514,0.000218,0.0807,0.6,129.87,4
spotify:track:4yOCbdjfT2zCSImNhTvDq9,"Malemolencia","Céu","Céu",2005-06-21,174653,37,false,iarecippo,2020-01-01T20:28:06Z,"new mpb,mpb","Urban Jungle Records",0.847,0.56,7,-10.318,0,0.0466,0.247,0.0000455,0.0955,0.662,141.889,4
spotify:track:0SZ9q5uTr59v7C0WLDrFQ6,"Roda","Céu","Céu",2005-06-21,318400,26,false,iarecippo,2020-01-01T20:28:06Z,"new mpb,mpb","Urban Jungle Records",0.886,0.387,11,-11.056,0,0.368,0.13,0.553,0.0963,0.772,146.057,4
spotify:track:6J9J7Y3VCo6ewxMHcOSicS,"Rainha","Céu","Céu",2005-06-21,219093,25,false,iarecippo,2020-01-01T20:28:06Z,"new mpb,mpb","Urban Jungle Records",0.701,0.587,6,-10.581,0,0.322,0.546,0.0511,0.353,0.68,98.923,4
