Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6xHMi6HSt7yJvm3n81JZn6,"Magic Hour","Luna","¿Téo?",2023-08-18,75200,54,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.641,0.546,1,-9.776,0,0.043,0.243,0.978,0.594,0.885,106.071,4
spotify:track:0onjg2qlZcouXn8WoKvx1p,"High Five","Luna","¿Téo?",2023-08-18,169040,33,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.755,0.647,1,-7.1,0,0.0509,0.22,0.0000579,0.307,0.34,94.007,4
spotify:track:4QbuMDWRl9dbRsYbSdMQbG,"A Mi Cama","Luna","¿Téo?",2023-08-18,154576,37,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.731,0.451,3,-11.438,0,0.0933,0.695,0.00378,0.11,0.563,118.072,4
spotify:track:1LRC7qLxnxvVXjUuna4vHE,"Don't Stare Too Long","Luna","¿Téo?",2023-08-18,188520,46,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.339,0.54,11,-10.665,0,0.0585,0.361,0.011,0.113,0.512,167.829,3
spotify:track:60BliEJiGfhHe0BpcuUVat,"Chances","Luna","¿Téo?",2023-08-18,174786,34,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.684,0.5,3,-11.584,0,0.168,0.426,0.0000708,0.111,0.748,135.13,4
spotify:track:1wpY5u0VDXlydPPbe4ho6Z,"Lunatic","Luna","¿Téo?",2023-08-18,107920,26,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.409,0.353,2,-15.748,0,0.063,0.861,0.000121,0.136,0.545,124.257,3
spotify:track:7ucI5Y0fSajQOhfeGsaTMU,"La Espera","Luna","¿Téo?",2023-08-18,163973,33,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.784,0.626,3,-7.998,0,0.0949,0.694,0.00103,0.11,0.362,117.009,4
spotify:track:4fzZtpGiE2SCv0VEJNtKFP,"Final Step","Luna","¿Téo?",2023-08-18,126461,32,true,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.802,0.445,10,-9.71,0,0.16,0.147,0.0474,0.105,0.464,130.021,4
spotify:track:1OpyuYYkGIv87DdHXmZVfC,"Me & Ur Maker","Luna","¿Téo?;Maesu",2023-08-18,146133,45,false,iarecippo,2024-01-11T01:31:17Z,"alté","49 Digits LLC",0.663,0.532,11,-9.091,0,0.0436,0.261,0.0164,0.175,0.57,86.217,4
spotify:track:4Hzmu9L1F19HK1qCD1eExr,"Borderline","Luna","¿Téo?",2023-08-18,181160,30,false,iarecippo,2024-01-11T01:31:17Z,"","49 Digits LLC",0.567,0.318,2,-13.838,1,0.0889,0.654,0.298,0.12,0.175,119.268,4
